"file","class","strategy","score","code_quality","has_sl","has_tp","has_trailing","has_grid","has_martingale","has_equity_stop","has_time_filter","has_money_mgmt","indicators","timeframe","function_count","obfuscated_count"
"icwr2.19.mq4","B","Trend","53","clean","True","True","False","False","False","False","False","False","MA, ADX, RSI","Any","3","0"
"icwr2.2.mq4","C","MeanReversal","47","clean","True","True","False","False","False","False","False","False","RSI","Any","3","0"
"icwr2.mq4","C","MeanReversal","47","clean","True","True","False","False","False","False","False","False","RSI","Any","3","0"
"Ikarus_2.0.mq4","C","MeanReversal","37","clean","False","True","True","True","True","False","False","False","RSI, CCI","Any","0","0"
"IKONIKROBOT.(EA).mq4","B","GridMartingale","50","clean","True","True","False","True","True","False","False","False","MA, RSI","Any","1","0"
"ILAN TURBO BETA v.4.5.1 +Mear.mq4","C","MeanReversal","39","clean","False","True","False","False","False","False","False","False","RSI","Any","3","0"
"Ilan V 1.6.mq4","A","MeanReversal","65","clean","True","True","True","True","False","True","False","False","MA, RSI, CCI","Any","3","0"
"Ilan-1.8.mq4","B","GridMartingale","59","clean","True","True","True","True","False","True","False","False","","Any","4","0"
"Ilan-Combi V2.1.mq4","B","GridMartingale","61","clean","True","True","True","True","False","True","False","False","MA, DeMarker","Any","0","0"
"Ilan-Combi _Dinamic.mq4","B","GridMartingale","61","clean","True","True","True","True","False","True","False","False","MA, DeMarker","Any","0","0"
"Ilan-Trio V1.2.mq4","B","GridMartingale","56","clean","True","True","True","True","False","True","False","False","RSI","Any","0","0"
"Ilan-Trio V1.33.mq4","B","GridMartingale","56","clean","True","True","True","True","False","True","False","False","RSI","Any","0","0"
"Ilan-Trio V1.43.mq4","B","GridMartingale","56","clean","True","True","True","True","False","True","False","False","RSI","Any","0","0"
"Ilan-Trio V1.45.4.mq4","B","GridMartingale","60","clean","True","True","True","True","False","True","False","True","RSI","Any","0","0"
"Ilan-Trio V1.47.mq4","B","GridMartingale","58","clean","True","True","True","True","False","True","False","False","RSI","Any","0","0"
"Ilan-Trio V1.49.mq4","A","GridMartingale","64","clean","True","True","True","True","False","True","False","True","RSI","Any","0","0"
"Ilan1.6.Prof6.mq4","B","GridMartingale","57","clean","True","True","True","True","False","True","False","False","","Any","3","0"
"Ilan_1.5_ZeroProfit.mq4","A","GridMartingale","62","clean","True","True","True","True","False","True","False","False","MACD","Any","3","0"
"Ilan_1.6_Dynamic_MM.mq4","A","MeanReversal","65","clean","True","True","True","True","False","True","False","False","MA, RSI, CCI","Any","3","0"
"Ilan_16TD_CCI_1.3.mq4","B","MeanReversal","59","clean","True","True","True","True","False","True","False","False","RSI, CCI","Any","1","0"
"Ilan_16TD_SCT.mq4","B","MeanReversal","59","clean","True","True","True","True","False","True","False","False","RSI, CCI","Any","1","0"
"Ilan_Exstra_Friday-from_Martingeil.mq4","C","GridMartingale","43","clean","False","True","True","True","False","False","False","False","","Any","3","0"
"Ilan_HiLo_RSI.mq4","B","GridMartingale","59","clean","True","True","True","True","False","True","False","False","RSI","Any","3","0"
"Ilan_HiLo_RSI_Dinamic.mq4","B","GridMartingale","59","clean","True","True","True","True","False","True","False","False","RSI","Any","3","0"
"Ilan_HiLo_RSI_fixed_by_Vespertilio.mq4","B","GridMartingale","59","clean","True","True","True","True","False","True","False","False","RSI","Any","3","0"
"Ilan_Lite_1.mq4","C","Unknown","25","clean","False","True","False","False","False","False","False","False","","Any","3","0"
"Ilan_Nikolaus_mod.mq4","A","MeanReversal","62","clean","True","True","True","True","False","True","False","False","RSI, CCI","Any","3","0"
"Ilan_RSI_MACD.mq4","A","Trend","65","clean","True","True","True","True","False","True","False","False","MA, MACD, RSI","Any","3","0"
"Ilan_RSI_mm_extr18.mq4","C","GridMartingale","37","clean","False","True","False","True","False","False","False","False","MA","Any","0","0"
"Ilan_RSI_mm_extr192_rrr.mq4","C","GridMartingale","34","clean","False","True","False","True","False","False","False","False","","Any","0","0"
