"file","class","strategy","score","indicators","has_sl","has_tp","code_quality"
"Rutka.mq4","B","Scalping","49","MA","True","True","clean"
"Rutka1.mq4","B","Scalping","49","MA","True","True","clean"
"Rutka1_50.mq4","B","Scalping","49","MA","True","True","clean"
"Rutka1_50SMMA.mq4","B","Scalping","49","MA","True","True","clean"
"S-R.original.mq4","B","Breakout","52","","True","True","clean"
"S.A.R.A..mq4","B","Scalping","58","MA","True","True","clean"
"samsamov_after_close.mq4","B","Trend","49","MA, RSI","True","True","clean"
"ScalperAngelsEA.mq4","B","GridMartingale","58","RSI","True","True","clean"
"Secure profit.mq4","B","Trend","48","MA","True","True","clean"
"Secure profit_v1.1.mq4","B","Trend","53","MA","True","True","clean"
"Secure profit_v1.2.mq4","B","Trend","53","MA","True","True","clean"
"Sell_Buy Scalper_agr.mq4","B","Scalping","55","MA","True","True","clean"
"SemiLong.mq4","B","Scalping","56","MA","True","True","clean"
"Semilong_www.forex-instruments.info.mq4","B","Scalping","56","MA","True","True","clean"
"SergeyGukach.mq4","B","MeanReversal","51","RSI, Fractals","True","True","clean"
"Sergey_0.2.mq4","B","Scalping","53","Fractals","True","True","clean"
"Session breakout v0.25.mq4","B","Trend","50","MA","True","True","clean"
"Session breakout v0.26.mq4","B","Scalping","54","MA","True","True","clean"
"Session breakout v01.26.mq4","B","Scalping","54","MA","True","True","clean"
"Session breakout v01_mbk.mq4","B","Trend","48","MA","True","True","clean"
"SHE_Baluev_Pro.mq4","B","Breakout","49","","True","True","clean"
"SHE_Baluev_Real.mq4","B","Breakout","49","","True","True","clean"
"SHE_Lucky.mq4","B","Trend","48","MA","True","True","clean"
"SHE_Lucky_reinvest.mq4","B","Trend","48","MA","True","True","clean"
"SHE_Lucky_reinvest_V.mq4","B","Trend","48","MA","True","True","clean"
"ShockBar_v_1_1.mq4","B","GridMartingale","59","","True","True","clean"
"SilverTrendExpert_V2a.mq4","B","Scalping","58","MA","True","True","clean"
"SilverTrendTrader(xyz).mq4","B","Scalping","58","MA, DeMarker","True","True","clean"
